Date,supply/active_1w_1m
2018-06-09,6692160.02399867
2018-06-10,6651759.34055996
2018-06-11,6668828.90839537
2018-06-12,6638012.84600939
2018-06-13,6702380.45432709
2018-06-14,6489665.16610551
2018-06-15,6347210.20000194
2018-06-16,6312487.5063752
2018-06-17,6040078.39618356
2018-06-18,6094584.15538178
2018-06-19,5942150.36638142
2018-06-20,6159916.53339577
2018-06-21,6095016.64323923
2018-06-22,6152825.77144699
2018-06-23,6155269.82137385
2018-06-24,6039824.39806509
2018-06-25,6173399.22537083
2018-06-26,6074558.52083906
2018-06-27,6056748.34483304
2018-06-28,6099326.49631815
2018-06-29,6018399.4103777
2018-06-30,6196177.80357546
2018-07-01,6244845.01516245
2018-07-02,6284645.57105382
2018-07-03,6323193.77064642
2018-07-04,6228513.74822642
2018-07-05,6097688.15894771
2018-07-06,5986327.74579235
2018-07-07,5186587.79774665
2018-07-08,5117680.70493866
2018-07-09,5029078.49855284
2018-07-10,5176912.55453307
2018-07-11,5111836.92978743
2018-07-12,5171954.10100358
2018-07-13,5124885.90052348
2018-07-14,5119153.40909306
2018-07-15,5129727.77250385
2018-07-16,5117329.02579
2018-07-17,5144590.52183164
2018-07-18,4890408.44718216
2018-07-19,4806950.72364803
2018-07-20,4750368.16717556
2018-07-21,4659988.16737491
2018-07-22,4620379.36440863
2018-07-23,4690510.78212754
2018-07-24,4870476.4085828
2018-07-25,4908228.30899385
2018-07-26,4763349.92172017
2018-07-27,5092582.39241904
2018-07-28,5139891.86636365
2018-07-29,5149451.15806836
2018-07-30,5129175.94616241
2018-07-31,6187923.41578044
2018-08-01,6213210.08200351
2018-08-02,6104924.53900967
2018-08-03,6106959.54265431
2018-08-04,5954378.76197957
2018-08-05,5947345.49887653
2018-08-06,6119791.69886325
2018-08-07,6131766.91437213
2018-08-08,6047342.37749901
